SoftwareName;FQNClass;CollectionVariables;AddListenerMethod;RemoveListenerMethod;ClassDeclarationKeyword;MethodsDeclarationKeyword;ClassType;ScanCollectionsMethod;SCMCallsAbsMethod;HasSuperclass;ImplementsInterfaces;ChangeState;AfterChangeStateIterateOverList;Role
JHotDraw v5.1;src\CH\ifa\draw\standard\ChangeConnectionEndHandle.java;1;1;1;3;3;1;1;1;2;1;2;1;2
JHotDraw60;org.jhotdraw.standard.StandardDrawingView;2;2;2;3;1;1;2;2;2;2;2;2;2
JHotDraw60;org.jhotdraw.util.UndoableTool.java;2;2;2;2;1;1;1;1;1;2;2;1;2
JHotDraw60;org.jhotdraw.figures.NullFigure.java;2;2;2;3;1;1;1;1;2;1;2;1;2
JHotDraw60;org.jhotdraw.contrib.dnd.JHDDragSourceListener.java;1;1;1;2;3;1;1;1;1;2;2;1;2
JHotDraw60;org.jhotdraw.contrib.dnd.JHDDropTargetListener.java;1;1;1;2;2;1;1;1;1;2;2;1;2
JHotDraw v5.1;src\CH\ifa\draw\standard\ToolButton.java;1;1;1;3;3;1;1;1;2;1;2;1;2
JHotDraw v5.1;src\CH\ifa\draw\framework\FigureChangeListener.java;1;1;1;2;2;3;1;1;2;1;1;1;2
JHotDraw60;org.jhotdraw.standard.StandardDrawing;2;2;2;3;1;1;2;2;2;2;2;2;2
JHotDraw60;org.jhotdraw.standard.AbstractTool.EventDispatcher.java;2;2;2;1;1;1;2;2;1;1;1;1;2
QuickUML2001;uml.ui.ToolPalette.java;1;1;1;3;2;1;1;1;2;2;2;1;3
JRefactory2624;rg.acm.seguin.refactor.method.AddConstructor.java;1;1;1;3;2;1;1;1;2;1;1;1;3
JRefactory2624;org.acm.seguin.uml.refactor.AddChildClassListener.java;1;1;1;2;3;1;1;1;2;1;1;1;3
JHotDraw v5.1;src\CH\ifa\draw\standard\StandardDrawingView.java;2;2;2;2;2;1;2;2;2;2;2;2;3
JHotDraw v5.1;src\CH\ifa\draw\figures\LineConnection.java;1;1;1;3;2;1;1;1;2;2;2;1;3
JHotDraw60;org.jhotdraw.application.DrawApplication;2;2;2;2;1;1;2;2;2;2;2;2;3
JHotDraw60;org.jhotdraw.util.CommandMenu;1;1;1;2;3;1;1;1;2;2;2;1;3
JHotDraw60;org.jhotdraw.standard.FigureChangeEventMulticaster.java;1;1;1;2;2;2;1;1;2;2;1;1;3
JHotDraw60;org.jhotdraw.applet.DrawApplet.java;1;1;1;2;2;1;1;1;2;2;2;1;3
JHotDraw60;org.jhotdraw.standard.AbstractTool.java;1;2;2;3;1;2;1;1;1;2;2;1;3
JHotDraw60;org.jhotdraw.figures.LineConnection.java;1;1;1;3;2;1;1;1;2;2;2;1;3
JHotDraw v5.1;src\CH\ifa\draw\standard\AbstractTool.java;1;1;1;3;3;1;1;1;1;2;2;1;3
JHotDraw v5.1;src\CH\ifa\draw\applet\DrawApplet.java;1;1;1;2;3;1;1;1;2;2;2;1;3
JHotDraw v5.1;src\CH\ifa\draw\figures\GroupFigure.java;2;2;2;2;1;1;2;2;2;1;2;2;3
JHotDraw v5.1;src\CH\ifa\draw\framework\Painter.java;1;1;1;3;3;3;1;1;2;1;1;1;4
JHotDraw v5.1;src/CH/ifa/draw/standard/BufferedUpdateStrategy.java;1;1;1;3;3;1;1;1;1;2;2;1;4
JHotDraw60;org.jhotdraw.framework.Figure.java;1;2;2;3;1;3;1;1;1;1;1;1;4
JUnit37;junit\framework\Test.java;1;1;1;3;3;3;1;1;1;1;1;1;4
JUnit37;junit\textui\TestRunner.java;1;1;1;3;3;1;2;2;1;2;2;1;4
JHotDraw60;org.jhotdraw.standard.BufferedUpdateStrategy.java;1;1;1;3;3;1;1;1;1;2;2;1;4
JHotDraw60;org.jhotdraw.util.StorageFormat.java;1;1;1;3;3;3;1;1;1;1;1;1;4
JHotDraw60;org.jhotdraw.util.StorageFormatManager.java;2;2;2;3;3;1;2;2;1;1;2;1;4
JHotDraw60; org.jhotdraw.standard.ChangeConnectionHandle;1;1;1;3;3;2;1;1;2;1;2;1;4
JUnit37;junit.awtui.ProgressBar.java;1;1;1;3;3;1;1;1;2;1;2;1;4
JUnit37;junit.framework.Protectable.java;1;1;1;3;3;3;1;1;1;1;1;1;4
JHotDraw v5.1;CH.ifa.draw.samples.javadraw;1;1;1;3;3;1;1;1;2;1;2;1;4
github.java-design-patterns;com.iluwatar.observer.generic.Observable.java;2;2;2;1;1;2;2;2;1;1;1;1;0
github.java-design-patterns;com.iluwatar.observer.generic.Gweather.java;2;2;2;2;2;1;2;2;2;1;2;2;2
github.java-design-patterns;com.iluwatar.observer.generic.GOrcs.java;1;1;1;3;2;1;1;1;1;2;1;1;3
github.java-design-patterns;com.iluwatar.observer.generic.GHobbits.java;1;1;1;3;2;1;1;1;1;2;1;1;3
github.java-design-patterns;com.iluwatar.observer.Weather.java;2;2;2;3;1;1;2;2;1;1;2;2;2
github.java-design-patterns;com.iluwatar.observer.Orcs.java;1;1;1;3;2;1;1;1;1;2;1;1;3
github.java-design-patterns;None;2;2;2;1;1;1;2;2;1;1;1;1;2
journaldev;com.journaldev.design.observer.Subject.java;1;2;2;1;1;3;1;1;1;1;1;1;0
journaldev;com.journaldev.design.observer.MyTopic.java;2;2;2;3;1;1;2;2;1;2;2;2;2
journaldev;com.journaldev.design.observer.MyTopicSubscriber.java;1;1;1;2;2;1;1;1;1;2;2;1;3
mrwebmaster;DownloadPageSubject.java;1;1;1;1;3;1;1;1;2;1;2;1;2
mrwebmaster;ConsoleObserver.java;1;1;1;2;2;1;1;1;1;2;1;1;3
mrwebmaster;TextAreaObserver.java;1;1;1;2;2;1;1;1;2;2;1;1;3
dzone;RedDress.java;2;2;2;1;1;1;2;2;1;2;2;2;2
JHotDraw v5.1;src\CH\ifa\draw\framework\Tool.java;1;1;1;3;3;3;1;1;1;1;1;1;1
JUnit37;junit\framework\TestListener.java;1;1;1;2;3;3;1;1;1;1;1;1;1
